average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_diff_layer1,avg_frob_kernel_diff_layer10,avg_frob_kernel_diff_layer11,avg_frob_kernel_diff_layer12,avg_frob_kernel_diff_layer13,avg_frob_kernel_diff_layer14,avg_frob_kernel_diff_layer2,avg_frob_kernel_diff_layer3,avg_frob_kernel_diff_layer4,avg_frob_kernel_diff_layer5,avg_frob_kernel_diff_layer6,avg_frob_kernel_diff_layer7,avg_frob_kernel_diff_layer8,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer0,avg_frob_kernel_layer1,avg_frob_kernel_layer10,avg_frob_kernel_layer11,avg_frob_kernel_layer12,avg_frob_kernel_layer13,avg_frob_kernel_layer14,avg_frob_kernel_layer2,avg_frob_kernel_layer3,avg_frob_kernel_layer4,avg_frob_kernel_layer5,avg_frob_kernel_layer6,avg_frob_kernel_layer7,avg_frob_kernel_layer8,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.70805,-0.00020211399532854557,0.032638665,0.49379318580031395,1.7528623243172963,1.7319594224294026,1.7284058113892873,1.7388272802035014,1.7328729013601938,1.7332268893718719,1.734152321020762,1.733230282862981,1.732376186052958,1.735879276196162,1.7422803819179535,1.7337947229544322,1.7446000794569652,1.7308199405670166,1.7426100035508474,0.336809412141641,0.11076412536203861,0.10155997692296902,0.10403072498738766,0.10010577030479909,0.1007014228651921,0.10093615787724654,0.10698404132078092,0.10913686032096545,0.11378245378534,0.11184710611899694,0.10041295488675435,0.10613566959897677,0.09990926378717026,0.10057745836675167,78.62025316455696,-1.6455696,78.18478260869566,-2.7173913,3.176849771180379e-05,868,24,1.0,256,8192
2.707857,-0.0005158981851612529,-0.14189759,0.3360888573030631,1.7526288012663522,1.731869912147522,1.7286704222361247,1.7391937732696534,1.7327657143274944,1.7333897411823274,1.734056866168976,1.73319371342659,1.7323277254899343,1.7352429270744323,1.7419749518235526,1.73396284977595,1.7448349316914877,1.7308366656303407,1.7425745805104573,0.33693589369455973,0.11087079768379529,0.10150325422485669,0.10380723401904106,0.10000867011646429,0.10068921459217867,0.10085525295386712,0.1069795483102401,0.10958946781853834,0.11395453984538714,0.11204588524997235,0.10037602794667085,0.10614720086256663,0.09984991128245989,0.10038816382487616,88.87,-2.28,77.6,-2.37,0.003371880288911999,873,48,2.0,512,16384
2.7051733,-0.0006862114274149968,-0.2991818,0.2795262278781997,1.753119691212972,1.7314081728458404,1.7284123480319977,1.7394005437692006,1.732610708475113,1.7334261159102122,1.7339084963003795,1.7331501166025798,1.732387016216914,1.7346156120300293,1.7417905350526175,1.734050065279007,1.7447041948636373,1.7307158013184865,1.7422676185766857,0.337673528244098,0.11111672607560953,0.1020137527336677,0.10372288872798284,0.10006047549347083,0.10066874486704668,0.10093853243937095,0.10700265529255072,0.11031272274752459,0.11444826448957125,0.11268547512590885,0.1002625823020935,0.10634311983982722,0.09991160705685616,0.10031452961266041,79.14,-2.37,85.14,-2.64,0.025900055970515923,878,72,3.0,768,24576
2.699154,-0.0008703244432884579,-0.37947682,0.2436278034777691,1.7537383496761323,1.7310126026471455,1.729234939813614,1.7396309514840445,1.7334191342194876,1.7334040880203248,1.7338702698548636,1.733057940006256,1.7323951284090677,1.7346135377883911,1.7413426657517752,1.733907663822174,1.7447670201460521,1.7309422234694163,1.7421997010707855,0.33802217816313107,0.11121104881167412,0.10271010976284742,0.10377523675560951,0.10093986100206773,0.10059441737830639,0.10097031388431787,0.10698037880162398,0.11091210066030423,0.11518215661247572,0.11336313895881175,0.10050521492958069,0.1066321738064289,0.10013253955791394,0.10039431812862555,81.53,-1.65,83.4,-2.91,0.09264384343737708,886,96,4.0,1024,32768
2.695915,-0.0017382438713684678,-0.43110278,0.17864692367613316,1.7541961948076883,1.7311725974082948,1.7297137260437012,1.7397525389989217,1.7340107242266336,1.7339144925276437,1.7343385378519693,1.7331009964148203,1.7329489926497141,1.734992653131485,1.741295822461446,1.7346781849861146,1.7450108528137207,1.7310169319311777,1.7420613765716553,0.3383380927145481,0.11140828281641006,0.1034478509798646,0.10377947042385736,0.10104434434324502,0.10081071158250172,0.10097120348364115,0.10693722628057004,0.11166407198955615,0.11570602990686893,0.1139379325012366,0.10087606261173884,0.1071102491269509,0.10026469019552071,0.10052920679251352,87.45,-2.38,84.46,-2.69,0.30107736562599907,885,120,5.0,1280,40960
2.6981502,-0.0018343877606093884,-0.3909381,0.15582468390464782,1.7541594088077546,1.731180630127589,1.7299961030483246,1.7397421459356943,1.7342694441477458,1.7339779833952587,1.7345879197120666,1.7331331690152487,1.733556220928828,1.734816179672877,1.7414129157861074,1.7347480356693268,1.7455401241779327,1.731077210108439,1.7420394241809845,0.33835822890202205,0.11173616908490658,0.10380457534144322,0.10349352564662695,0.10135634578764438,0.10094991040726503,0.10093697141855955,0.10693791415542364,0.11224253866821528,0.11578467699388663,0.1143825658907493,0.10124517281850179,0.10738584560652574,0.10050968149056037,0.1005892572303613,83.91,-2.23,85.84,-2.42,0.2434968469808153,886,144,6.0,1536,49152
2.6884034,-0.0022908455226570367,-0.4099871,0.14423787482082845,1.7542182803153992,1.7310129503409069,1.7301527937253316,1.739794902006785,1.734293705224991,1.7338923613230388,1.7349563658237457,1.7327273845672608,1.7336435814698536,1.7348601043224334,1.7409068981806437,1.734508717060089,1.7458228151003519,1.7309719522794087,1.7421282947063446,0.3384818236033122,0.11217666876812776,0.1050195105994741,0.10347972797850767,0.10177468763043483,0.10100544405480226,0.10117012653499842,0.10685045545299848,0.11261419262737035,0.11578279025852681,0.11493941123286883,0.10119205005466939,0.10776366057495276,0.10084536150097848,0.10070240485171476,83.99,-2.24,75.27,-2.41,0.3606928639795992,885,168,7.0,1792,57344
2.6736455,-0.00389494969509542,-0.45340377,0.1373589501529932,1.754087714354197,1.7313668767611186,1.7300144016742707,1.7397390802701314,1.7343024929364523,1.7337166090806326,1.735393261909485,1.7324336806933085,1.7334474881490072,1.7349958936373393,1.7406390110651653,1.7345116635163624,1.746043582757314,1.7311406513055165,1.742293757200241,0.33839653035004935,0.11225654122730096,0.10593923833221197,0.10381053984165192,0.10254503109802802,0.10109664474924406,0.10127328019589185,0.10678666271269321,0.11258591003715993,0.11602239596347014,0.11504451756676039,0.1012587945908308,0.1079135812819004,0.10144198021541039,0.10106579177081584,85.28,-2.19,79.07,-1.63,0.40908052177796783,876,192,8.0,2048,65536
2.6692257,-0.003907884564250707,-0.47670215,0.11947305150330066,1.753956671555837,1.7317203601201376,1.7299211978912354,1.7395569543043772,1.7354559659957887,1.733756317694982,1.7365619083245596,1.7326203465461731,1.7336024284362792,1.7350333054860434,1.7408155341943106,1.734805655479431,1.745896852016449,1.731390686829885,1.7426413158575693,0.3384311666091283,0.11233234318594137,0.10665776791671912,0.10406422267357508,0.10332561607162158,0.1011637964596351,0.10237306840717793,0.10680730647097031,0.11305834172914425,0.11614791651566823,0.11527623223761717,0.1013295507679383,0.10798814160128435,0.10171393932153781,0.10134309902787209,81.67,-1.83,81.7,-2.54,0.4967253576359816,885,216,9.0,2304,73728
2.655314,-0.005821602395735681,-0.53377366,0.1064707324653864,1.7540313800175984,1.7319328725337981,1.7305363257726034,1.7394263744354248,1.7360763172308604,1.733867778380712,1.7377169986565908,1.7328472216924031,1.7337504863739013,1.7356759905815125,1.7408002098401387,1.7346028010050456,1.7458902021249136,1.7314960837364197,1.7428519109884897,0.33848109021782874,0.11281449509163698,0.10774716120213271,0.10455591746916373,0.10373962335288525,0.10107003425558408,0.10357817939172188,0.10685571326563756,0.11377138147751491,0.11639994146923224,0.11582385810712974,0.10157558433711529,0.1081534419208765,0.10203298088163137,0.10130433465043703,80.19,-1.31,80.65,-1.14,0.5399300048398092,886,240,10.0,2560,81920
