average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0003467059771840771,0.012704451,0.36335361873110134,0.013272369419047166,80.49411764705883,-2.0470588,83.07594936708861,-3.772152,-0.00165234258600222,849,24,1.0,256,8192
2.7076187,-0.0002984455495607108,-0.17450805,0.26518690306693316,0.014939685738811801,83.07,-2.51,85.32,-2.79,0.0065466069198559795,855,48,2.0,512,16384
2.706179,-0.0005462791272697763,-0.2929879,0.23425768667625058,0.015109251044036466,79.31,-2.33,81.99,-2.21,0.012134107637670533,861,72,3.0,768,24576
2.7003565,-0.0009150493012081521,-0.32485563,0.21604504389688373,0.015154882745091094,83.37,-2.03,86.89,-2.76,0.046687966271740655,862,96,4.0,1024,32768
2.6850767,-0.0010203019273467362,-0.4016273,0.1660218209028244,0.015419231341054131,85.41,-2.18,84.06,-2.82,0.09862347987564857,856,120,5.0,1280,40960
2.6797714,-0.001722775159869343,-0.37436774,0.15756847754120826,0.017326043664416785,89.95,-2.28,76.74,-2.01,0.16910119720613748,857,144,6.0,1536,49152
2.6750455,-0.0022859580302610994,-0.45303014,0.15529891341924668,0.01952391767380981,83.26,-2.82,79.77,-3.38,0.2676342008996586,860,168,7.0,1792,57344
2.6655269,-0.002069928585551679,-0.4520221,0.1471805503219366,0.02113338419890386,82.7,-1.81,78.95,-2.68,0.34638042402463887,851,192,8.0,2048,65536
2.6684673,-0.002516581751406193,-0.41358668,0.1412010969221592,0.02257689473862272,79.08,-1.5,80.98,-2.44,0.4681543423020058,860,216,9.0,2304,73728
2.6522129,-0.0027600940549746154,-0.43519068,0.13258778400719165,0.025927910209810806,81.66,-2.25,76.18,-2.62,0.4964883190055682,860,240,10.0,2560,81920
2.6634977,-0.0032443402288481592,-0.35443187,0.12550759948790075,0.029416717976952594,81.0,-1.58,75.8,-1.38,0.48047346665132207,859,264,11.0,2816,90112
2.647567,-0.00469436401501298,-0.451035,0.11721075266599655,0.033251437092466016,82.66,-1.88,78.54,-1.75,0.5224409363559709,858,288,12.0,3072,98304
2.6479151,-0.0041103756241500375,-0.31360736,0.11966226212680339,0.03720687609165907,76.6,-1.37,75.73,-2.0,0.6008084374114704,857,312,13.0,3328,106496
2.6247306,-0.004103071209974587,-0.52708864,0.11717850923538208,0.04190024842197696,77.12,-1.65,74.04,-1.34,0.68203186092671,860,336,14.0,3584,114688
2.6220922,-0.005536397700197994,-0.360602,0.10861829958856106,0.04609673658740662,77.37,-1.62,76.8,-1.06,0.6345929245808595,850,360,15.0,3840,122880
2.622485,-0.0055327088618651035,-0.31112894,0.10566396497189999,0.05026147245163364,77.22,-2.11,79.21,-2.11,0.6724599727717152,860,384,16.0,4096,131072
2.5930488,-0.006749227023683488,-0.30845928,0.09355332341045142,0.055598951909425,73.98,-1.25,77.19,-1.47,0.6695949133763099,860,408,17.0,4352,139264
2.5884194,-0.007426629927940667,-0.26952338,0.0904372363910079,0.058680235530205425,74.6,-0.99,79.65,-1.57,0.588908295046978,859,432,18.0,4608,147456
2.559342,-0.008120854278095066,-0.47438687,0.08438808105885982,0.06078424070784379,73.88,-0.97,76.73,-0.87,0.6901287559729262,859,456,19.0,4864,155648
2.5347483,-0.007749574813060462,-0.32416463,0.08198855832219124,0.06360935154814451,77.85,-1.37,78.82,-1.45,0.7168961719762705,856,480,20.0,5120,163840
2.5654094,-0.00918334344867617,-0.14342041,0.08172980785369872,0.06485346762374752,78.62,-1.08,83.07,-1.5,0.7263469044821473,860,504,21.0,5376,172032
2.5441122,-0.010955097186379135,-0.29497904,0.07443546429276467,0.06661761993364919,74.16,-1.26,76.55,-0.97,0.6753607619030152,860,528,22.0,5632,180224
2.5359933,-0.012594188977964223,-0.27136216,0.07113518368452787,0.06935549045114645,72.14,-1.09,73.73,-1.04,0.6909956748494152,849,552,23.0,5888,188416
2.5303102,-0.014118924145586789,-0.18538372,0.0681675512343645,0.07060196337157063,73.98,-0.95,74.85,-1.33,0.6717810122925008,854,576,24.0,6144,196608
2.5059917,-0.014307630611583591,-0.36536112,0.0676845159009099,0.07379901197384156,76.93,-1.12,74.16,-1.3,0.6998382361076443,859,600,25.0,6400,204800
2.5149703,-0.015219205738976598,-0.31279314,0.06650047115981579,0.07559885099042385,74.81,-0.41,76.42,-1.0,0.6922731918214498,858,624,26.0,6656,212992
2.50555,-0.015656135324388743,-0.3443069,0.0634724572300911,0.07659748793091803,78.71,-0.6,74.32,-0.56,0.6901678608737947,860,648,27.0,6912,221184
2.460357,-0.016699056178331374,-0.23050708,0.059970376640558244,0.0786843519391758,74.02,-0.43,78.75,-1.04,0.6692602332328439,859,672,28.0,7168,229376
2.5092974,-0.017053739982657135,-0.3088504,0.057159834317862986,0.08288646449467965,77.21,-0.25,74.06,-0.75,0.6662986212291726,859,696,29.0,7424,237568
2.4507768,-0.016876426190137864,-0.21542473,0.0562567389011383,0.08554075352315392,77.04,-0.17,77.25,-0.33,0.553484513769235,848,720,30.0,7680,245760
2.3962414,-0.018680691150948406,-0.15803885,0.06176582675427198,0.08694603092347582,77.56,-0.94,73.01,-0.61,0.6980967702335481,860,744,31.0,7936,253952
2.3437486,-0.017834859229624273,-0.084690966,0.06082932736724615,0.08838338278500098,82.12,-0.41,80.54,-0.55,0.6419724236275408,859,768,32.0,8192,262144
2.314521,-0.018037007628008722,-0.01880668,0.061745151802897455,0.08957596724143341,77.73,-0.28,75.99,-0.33,0.6749503678573987,858,792,33.0,8448,270336
2.358473,-0.017593245659954845,-0.1425018,0.06243310771882534,0.0905982693657279,78.11,-0.17,79.13,-0.68,0.6690587439214921,857,816,34.0,8704,278528
2.3840296,-0.015695745651610197,-0.252023,0.05789298418909311,0.09134301924634547,77.63,-0.34,76.65,0.15,0.5985725883482157,859,840,35.0,8960,286720
2.4462001,-0.017279548342339694,-0.007156826,0.05778586853295565,0.09250319777943548,80.5,-0.14,78.41,-0.25,0.45439838593634807,858,864,36.0,9216,294912
2.3947842,-0.016855429848656057,-0.035897367,0.058182925768196586,0.09275825609940858,79.23,-0.11,75.87,-0.16,0.48826402768812693,849,888,37.0,9472,303104
2.3389823,-0.018133266931399702,-0.09367835,0.05497279372066259,0.0937499287316487,78.48,0.42,77.46,0.1,0.5427598474333462,860,912,38.0,9728,311296
2.3816142,-0.018959873733110727,0.067489855,0.05354947511106729,0.09523517893449891,78.2,-0.04,77.25,-0.38,0.5092118131638947,861,936,39.0,9984,319488
2.3216872,-0.018693521339446306,-0.036944535,0.051955510787665846,0.09725116716609114,78.68,0.1,77.17,0.14,0.6274089061769552,860,960,40.0,10240,327680
2.2416415,-0.01953482280485332,-0.014627315,0.04770945504307747,0.09933527949310485,79.65,0.11,73.79,0.03,0.4695656433858485,860,984,41.0,10496,335872
2.2970986,-0.019670766876079143,0.11219638,0.04725026089698076,0.1010806243866682,75.07,0.17,76.04,0.33,0.633119154271097,859,1008,42.0,10752,344064
2.2188995,-0.01966888674534857,0.03198017,0.04523212660104036,0.10207559736002059,76.66,0.31,78.34,0.15,0.6293886318896236,859,1032,43.0,11008,352256
2.24196,-0.01886907054577023,0.013703715,0.04640352062880993,0.10339894252164024,76.93,0.21,79.52,0.11,0.46637549347957863,856,1056,44.0,11264,360448
2.2837524,-0.01913225856842473,0.059659936,0.05022144168615341,0.10448441481483835,80.38,0.27,79.48,0.2,0.5159424221776931,861,1080,45.0,11520,368640
2.3067017,-0.019780779590364547,0.07566669,0.048933000713586805,0.10648096605603184,80.25,0.41,83.77,-0.27,0.5403316762458816,850,1104,46.0,11776,376832
2.306675,-0.020433367842342703,0.25918552,0.04916129905730486,0.10774328524158114,76.97,0.35,79.57,0.08,0.5705693997235284,857,1128,47.0,12032,385024
2.4222586,-0.01973391607636586,0.24912035,0.04917011220008135,0.10973090780455441,77.39,0.34,79.21,0.31,0.5293550943547671,857,1152,48.0,12288,393216
2.2968373,-0.02011574515607208,0.2537987,0.04423796214163303,0.11395451067281621,77.44,0.92,74.74,0.3,0.5988213287421673,855,1176,49.0,12544,401408
2.294417,-0.020742432698607444,0.341175,0.04275373872369528,0.11829167192003556,81.07,0.84,83.67,0.34,0.6049857062373742,858,1200,50.0,12800,409600
2.3802266,-0.020347552485764028,0.32224542,0.044287806041538716,0.1200901553966105,83.28,0.93,78.4,0.34,0.49659162360718145,858,1224,51.0,13056,417792
2.3507564,-0.021401536541525275,0.27834478,0.04866572607308626,0.1196192839803795,87.94,0.56,87.97,0.99,0.4817103215009948,860,1248,52.0,13312,425984
2.3547022,-0.020982562669087202,0.42232198,0.04854707438498736,0.12138154348802,85.4,0.57,82.21,0.47,0.6035233225381151,851,1272,53.0,13568,434176
2.4288757,-0.02129039656370878,0.34084687,0.0481982646137476,0.1228620235896891,84.87,1.06,82.67,0.31,0.6179456710364706,859,1296,54.0,13824,442368
2.4076242,-0.02222527439240366,0.4238195,0.05410481430590153,0.12486812288296364,81.73,0.35,81.68,0.85,0.5634797615224574,862,1320,55.0,14080,450560
2.4390266,-0.020877086305990816,0.42849627,0.05528980359435082,0.12677830555254505,91.98,0.69,85.23,0.59,0.5329428290262539,861,1344,56.0,14336,458752
2.4148662,-0.02227996992645785,0.45202136,0.06856068845838309,0.12947032866733416,89.26,0.63,87.48,0.67,0.5364854642044115,860,1368,57.0,14592,466944
2.4054205,-0.02365629366133362,0.32673168,0.07765669448301196,0.12982149484256902,86.15,0.64,88.24,1.1,0.6035455276435754,860,1392,58.0,14848,475136
2.386376,-0.02386972085107118,0.22428979,0.07285382695496083,0.1342982357545268,91.67,1.27,82.85,1.12,0.6804601285650922,860,1416,59.0,15104,483328
2.3701518,-0.024479634279850872,0.37117425,0.06790072280913591,0.13927348760799282,83.74,1.3,89.74,1.19,0.6983371684251546,859,1440,60.0,15360,491520
2.4010274,-0.025035098309163003,0.5466609,0.05805472444742918,0.14210381514082351,86.15,1.23,87.88,1.33,0.7154842354370241,848,1464,61.0,15616,499712
2.382384,-0.025577585233841092,0.54202443,0.05644357118755579,0.1438602688057082,93.19,1.32,87.27,1.17,0.6709568251713495,856,1488,62.0,15872,507904
2.3559747,-0.025128106677439064,0.3204021,0.054776949733495714,0.14836829027072304,92.42,1.54,91.46,1.55,0.7327632959139747,859,1512,63.0,16128,516096
2.354311,-0.02537314353045076,0.26530978,0.052920097559690474,0.1512124284303614,92.33,1.76,89.58,1.59,0.7336951457635257,859,1536,64.0,16384,524288
2.322084,-0.02468015391379595,0.3729188,0.05325692873448133,0.15288136535811991,88.6,1.26,98.33,1.65,0.7101617425744304,858,1560,65.0,16640,532480
2.322897,-0.02498103925026953,0.5127273,0.05017132591456175,0.15317077251772085,93.25,1.75,85.98,1.49,0.6892885010112801,861,1584,66.0,16896,540672
2.2992017,-0.024307429855689407,0.34572232,0.050176558271050456,0.1531612586584829,93.05,2.18,92.5,1.33,0.7250816764216933,857,1608,67.0,17152,548864
2.2588935,-0.02292335545644164,0.289101,0.049840989485383035,0.15389109225500197,103.38,2.31,103.7,1.82,0.750309438688058,853,1632,68.0,17408,557056
2.2925718,-0.023063939535059034,0.5425183,0.05077928490936756,0.15443151408717745,95.72,1.71,109.18,2.03,0.7020205451130475,850,1656,69.0,17664,565248
2.2492342,-0.021964969937689604,0.55731225,0.05174723234027624,0.1562152723116534,104.57,2.44,109.78,2.01,0.6908711705387378,861,1680,70.0,17920,573440
2.2478778,-0.022544102887623013,0.9084776,0.052379241436719896,0.15730199537106923,109.41,2.57,120.27,2.44,0.7627878161171877,860,1704,71.0,18176,581632
2.1701913,-0.021323676481842996,0.6453828,0.057605245113372804,0.15782301868533805,108.56,1.98,109.91,2.41,0.7304834444890312,859,1728,72.0,18432,589824
2.2024493,-0.01850358351133764,0.8671273,0.06027324046939611,0.1585691078521666,117.24,2.18,103.72,1.86,0.7299587368699316,861,1752,73.0,18688,598016
2.2128758,-0.019152036076411603,0.6370068,0.07280356358736753,0.15983820165551843,124.07,2.94,112.94,2.29,0.6459030543475164,856,1776,74.0,18944,606208
2.1418505,-0.018279199516400696,0.99736726,0.07652798380702734,0.16013381958362602,115.01,2.86,112.58,2.32,0.7142054769839807,856,1800,75.0,19200,614400
2.1649091,-0.02128420801833272,0.78946936,0.07957768999040127,0.16337703824752853,123.53,2.46,119.77,2.32,0.7093199566622393,852,1824,76.0,19456,622592
2.1806579,-0.022912320448085666,0.9071693,0.07970848511904478,0.167116542568519,113.72,2.44,118.88,2.72,0.7002106089170086,861,1848,77.0,19712,630784
2.2123613,-0.024711277075111865,0.81547385,0.06896532509475946,0.16902216102573134,132.08,2.69,127.31,2.93,0.7427383208795723,859,1872,78.0,19968,638976
2.1532857,-0.02482480075210333,0.89504075,0.07790956106036902,0.1700713269944702,136.32,3.17,134.59,2.91,0.6363468265062617,859,1896,79.0,20224,647168
2.1978974,-0.0236694626044482,0.8813396,0.07931184891611337,0.1710634951346687,132.99,3.36,156.13,4.19,0.7035784337783313,858,1920,80.0,20480,655360
2.1283007,-0.020224533723667264,0.99518365,0.1270784615725279,0.17206506475451447,168.68,5.16,169.18,5.78,0.5380141787067636,860,1944,81.0,20736,663552
2.122344,-0.018358584456145764,1.2080362,0.13783793415874243,0.17385428283540977,186.83,5.83,171.26,6.03,0.7115554494744558,857,1968,82.0,20992,671744
2.1999722,-0.01829947830643505,1.0768635,0.1420538693293929,0.1759806475380347,172.26,4.75,173.57,5.48,0.6777324361538013,861,1992,83.0,21248,679936
