average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer1,avg_frob_kernel_layer1,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0006056630130236348,0.08387536,0.3117633455743392,0.008080000847500438,1.7299005528291067,81.12658227848101,-2.21519,75.16129032258064,-1.8602151,-0.00023394287735412078,852,24,1.0,256,8192
2.7069879,-0.000981517368927598,-0.082981884,0.21759041926513115,0.009138204774353653,1.729795257250468,86.93,-2.34,82.63,-2.56,0.004860387138795774,864,48,2.0,512,16384
2.6988657,-0.001307635982003477,-0.2457505,0.1912977351910538,0.011333696416113526,1.7302889188130697,87.29,-2.27,81.39,-2.06,0.019381407262272332,855,72,3.0,768,24576
2.686979,-0.0015850184427108616,-0.32047004,0.18336861549566189,0.014440403187957902,1.730624355872472,83.92,-1.74,93.95,-2.43,0.05890556039742978,859,96,4.0,1024,32768
2.6698246,-0.0013703982532024383,-0.3744792,0.15925829127430915,0.016722784482408316,1.730788811047872,82.55,-2.7,91.68,-1.82,0.05126343192381244,858,120,5.0,1280,40960
2.6471436,-0.0026267301384359596,-0.5462988,0.16138940200209617,0.018541675072629004,1.7307142992814382,82.99,-2.76,81.73,-2.21,0.11782803458039914,856,144,6.0,1536,49152
2.6284347,-0.001265858793631196,-0.6209224,0.16911692410707474,0.021198290415729085,1.7311863164107004,81.75,-3.16,81.43,-1.72,0.23430924297108147,859,168,7.0,1792,57344
2.611499,-0.002366490229032934,-0.57547534,0.16923936516046523,0.023689917583639423,1.7310058931509653,81.09,-2.3,93.25,-2.4,0.37015515501267493,851,192,8.0,2048,65536
2.5878813,-0.002509059621952474,-0.76613945,0.1553753949701786,0.025680123820590477,1.731003644069036,86.23,-2.39,82.13,-2.04,0.40019902812087027,860,216,9.0,2304,73728
2.589409,-0.003401609598658979,-0.70651186,0.1450516726821661,0.02681567275042956,1.7306282063325247,84.47,-2.2,85.14,-2.03,0.47136736301488813,862,240,10.0,2560,81920
2.6039233,-0.0033691156469285487,-0.69463503,0.13031635276973247,0.02784668664292743,1.730242508649826,82.83,-1.62,82.37,-2.68,0.5177661301223113,859,264,11.0,2816,90112
2.5870264,-0.0034868210554122926,-0.82208043,0.11537420243024826,0.02949585533545663,1.7302579045295716,82.32,-1.67,88.2,-2.29,0.530307441081519,864,288,12.0,3072,98304
2.576209,-0.0043710872950032354,-0.5290486,0.10714083276689053,0.030806061105492215,1.7299371401468913,82.41,-1.47,78.31,-2.04,0.5384028551683433,856,312,13.0,3328,106496
2.5394506,-0.00413024962414056,-0.48067543,0.10827460572123528,0.03169842162945618,1.7296184718608856,80.59,-2.12,82.26,-1.99,0.5739354045721924,860,336,14.0,3584,114688
2.5039253,-0.004981668987311423,-0.4968157,0.10419136501848697,0.03267174345285942,1.7292437732219696,76.01,-1.3,85.51,-1.67,0.6001475335947485,853,360,15.0,3840,122880
2.4878979,-0.005352366240695119,-0.35181,0.09847021870315074,0.03346791407093406,1.729178386926651,81.52,-0.98,78.22,-1.86,0.6365982525786487,857,384,16.0,4096,131072
2.5336165,-0.004493797391187399,-0.3352094,0.0986972526460886,0.03393326283742984,1.7290853142738343,78.24,-1.38,77.27,-1.7,0.4823713678586097,861,408,17.0,4352,139264
2.4900808,-0.006023247500415892,-0.21160264,0.09527646251022816,0.034328231355175376,1.7290786723295848,82.31,-1.78,82.21,-1.98,0.5006593341258605,862,432,18.0,4608,147456
2.4599893,-0.00663279136409983,-0.28352746,0.09353466279804706,0.03521600867000719,1.7291015148162843,80.15,-1.6,78.32,-1.56,0.525299571771581,857,456,19.0,4864,155648
2.458751,-0.007955202797893435,-0.3433028,0.0964795384556055,0.03658867563741903,1.7291552642981212,80.84,-1.49,82.27,-1.78,0.5835492737010776,871,480,20.0,5120,163840
2.4851499,-0.009512369795702398,-0.28132725,0.090095722861588,0.03716410112877687,1.7291780292987824,82.79,-1.42,74.3,-1.15,0.5966399663034672,865,504,21.0,5376,172032
2.5183291,-0.009694124180823565,-0.34954983,0.08371398147195577,0.038104814803227784,1.7291742801666259,81.95,-0.94,81.27,-1.4,0.5803877846642529,857,528,22.0,5632,180224
2.4585865,-0.011734871598891914,-0.26195222,0.07740250419825316,0.03831156458084782,1.7291871627171835,79.89,-1.14,75.22,-0.77,0.6241163116400061,847,552,23.0,5888,188416
2.4328375,-0.01183191653341055,-0.16447487,0.072136657461524,0.03892534452800949,1.728952064116796,79.18,-1.04,78.67,-1.43,0.5240863835011254,859,576,24.0,6144,196608
2.4404283,-0.012431692141108215,-0.30497143,0.07269423816353082,0.039266467575604716,1.728826767206192,76.23,-0.7,77.11,-1.41,0.6271752122783658,859,600,25.0,6400,204800
2.4372482,-0.012027229662053288,-0.23876385,0.0714110403880477,0.03993961128095786,1.7285701135794322,79.85,-1.33,77.91,-1.07,0.5052243871810351,862,624,26.0,6656,212992
2.4266484,-0.013611358618363737,-0.33426508,0.07206115130335093,0.04039300441121062,1.7284452358881632,76.0,-0.92,78.02,-1.11,0.5679688196244601,861,648,27.0,6912,221184
2.4134912,-0.013674952541477978,-0.4375445,0.06868263438344002,0.04140385342761874,1.72851402759552,77.09,-0.7,79.87,-1.38,0.5951629641074473,867,672,28.0,7168,229376
2.383499,-0.016605121945030988,-0.2567837,0.06659993145614862,0.041601570586984354,1.7285715619723,77.88,-0.68,79.0,-0.63,0.6016882146988313,857,696,29.0,7424,237568
2.4645543,-0.01673205700237304,-0.058798112,0.06536557231098414,0.04198947193411489,1.7287376284599305,79.62,-1.09,77.6,-0.6,0.5648827103312027,851,720,30.0,7680,245760
2.4508705,-0.017348247584886848,-0.1802117,0.06140411842614412,0.04234444306542476,1.7287691016991933,77.97,-0.53,76.89,-0.87,0.6006439049464722,861,744,31.0,7936,253952
2.4314864,-0.018019933816976846,-0.1233163,0.062254878282547,0.043065329113354284,1.7286069949467977,81.61,-0.21,76.07,-0.93,0.5220910445561042,859,768,32.0,8192,262144
2.4314294,-0.018519913675263525,-0.16364017,0.06276811830699444,0.04362236969172954,1.7282597462336222,76.72,-0.29,79.69,-0.64,0.4950084134595526,860,792,33.0,8448,270336
2.4586763,-0.018998662414960562,0.030651646,0.06252271436154842,0.04407506712401907,1.7281858483950296,75.47,-0.35,78.4,-0.65,0.46613174242972766,861,816,34.0,8704,278528
2.4489956,-0.018416069042868913,-0.006012454,0.06274081356823444,0.04496942904467384,1.7283312877019246,78.23,-0.33,79.31,0.18,0.45233207145453125,857,840,35.0,8960,286720
2.3874233,-0.019692912236787378,0.07292943,0.062339073717594146,0.04502226281911135,1.7281389892101289,76.42,-0.14,80.83,-0.41,0.4960922012344714,861,864,36.0,9216,294912
2.3414335,-0.020184478419832886,-0.061263286,0.06091594446450472,0.04552456152935823,1.7277989466985066,76.93,-0.01,78.71,0.1,0.5223720032751638,855,888,37.0,9472,303104
2.4284353,-0.020615572188980878,0.037638724,0.05721864581108093,0.045739715034142134,1.7280702610810599,80.37,-0.12,75.75,-0.39,0.5387560018875026,856,912,38.0,9728,311296
2.4059942,-0.02055694506969303,-0.026487365,0.05570688396692276,0.04737765394772093,1.7280934909979502,82.81,0.26,78.07,-0.25,0.5495429626563264,860,936,39.0,9984,319488
2.3395948,-0.019083299925550818,0.05842641,0.05719930998980999,0.04851166089065373,1.7280620535214741,89.04,-0.09,79.61,-0.34,0.49421589563711965,859,960,40.0,10240,327680
2.3887827,-0.019352884930558503,0.05922203,0.05574664860963821,0.04910995455769201,1.7278825720151265,82.54,0.28,77.47,-0.46,0.43781356378600234,861,984,41.0,10496,335872
2.3780987,-0.02058027797844261,0.03470479,0.05465609323233366,0.0494106070138514,1.7277634481589,75.55,-0.07,81.8,0.23,0.495774393264908,860,1008,42.0,10752,344064
2.3655927,-0.020295690866187214,-0.05104213,0.055618134699761866,0.049063168062518044,1.7277721067269642,74.6,0.37,78.16,-0.08,0.46213513710980003,857,1032,43.0,11008,352256
2.4156327,-0.02182353406678885,0.07585,0.057127543240785596,0.049573871307075024,1.7277130047480265,83.15,-0.06,81.04,-0.27,0.3087111717158796,861,1056,44.0,11264,360448
2.4458184,-0.023483475176617502,0.07313619,0.05876785408705473,0.04902077534546455,1.7277380704879761,83.86,0.04,88.57,-0.61,0.41412341058996927,862,1080,45.0,11520,368640
2.3531928,-0.02322138794697821,0.060141776,0.05807964559644461,0.04895051235022644,1.7278517484664917,77.57,0.21,83.85,0.33,0.49710464822781686,850,1104,46.0,11776,376832
2.358132,-0.024387877648696304,0.11471686,0.05747168634086847,0.04945537579866747,1.7279925286769866,83.07,0.44,80.89,0.2,0.3578397262536558,859,1128,47.0,12032,385024
