average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer2,avg_frob_kernel_layer2,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0005254746550538888,-0.0073743714,0.26890853481988114,0.0026518288058772063,1.7316953579584757,79.75949367088607,-2.177215,76.7840909090909,-2.3863637,0.0019586940616770354,860,24,1.0,256,8192
2.7070696,-0.0007198517996584997,-0.2026714,0.22503301221877337,0.0028423304691386876,1.7318235754966735,86.47,-2.78,81.39,-1.81,-0.000149959460991278,875,48,2.0,512,16384
2.7005475,-0.0007366884221685015,-0.3698307,0.194876692775223,0.0029898332543477108,1.7320717414220175,79.48,-2.1,81.03,-2.51,0.009022811375375639,872,72,3.0,768,24576
2.701845,-0.0008979990404138031,-0.41156456,0.18868084500233331,0.0032948009329023384,1.7321603099505107,82.51,-1.9,86.75,-2.71,0.04825976474246074,870,96,4.0,1024,32768
2.6905448,-0.00030432671308517457,-0.49179402,0.1642949628829956,0.004589482906158082,1.7325197060902913,86.91,-1.6,77.95,-2.56,0.1114546758808368,873,120,5.0,1280,40960
2.6890597,-0.0007337132235988974,-0.40090632,0.15365132927894593,0.006107224902370945,1.7329246699810028,84.07,-2.04,82.14,-2.48,0.1746699181510356,870,144,6.0,1536,49152
2.6761324,-0.002481968752108514,-0.55888367,0.15786698803305627,0.007449602626729756,1.7330491224924722,84.41,-2.32,85.19,-2.06,0.27646313070358053,871,168,7.0,1792,57344
2.663085,-0.0013171978807076812,-0.6180802,0.14745804257690906,0.00977912541323652,1.7335790952046712,86.68,-1.54,83.2,-2.74,0.3078390077952362,863,192,8.0,2048,65536
2.6691685,-0.0031930904369801283,-0.61097056,0.14135407254099847,0.010878428832317393,1.7337390661239624,86.47,-1.94,87.22,-1.93,0.40614904455649636,872,216,9.0,2304,73728
2.665072,-0.004263468515127897,-0.47773352,0.14170652031898498,0.012140995093310873,1.733371639251709,86.14,-2.57,80.56,-2.82,0.3741533939395535,872,240,10.0,2560,81920
2.6487246,-0.00509213987737894,-0.6938478,0.13911687187850474,0.013988802488893271,1.7331969062487285,79.64,-1.88,79.82,-2.71,0.4693456830656483,871,264,11.0,2816,90112
2.6347334,-0.004198794392868877,-0.5784912,0.14045622445642947,0.014787900696198146,1.733122169971466,83.23,-2.4,84.05,-2.21,0.5195449576692555,869,288,12.0,3072,98304
2.615875,-0.005624108444899321,-0.6078651,0.1360357467830181,0.015351936438431342,1.7328957776228586,82.78,-1.68,80.18,-1.77,0.5647339199770536,870,312,13.0,3328,106496
2.6377647,-0.0061008735094219444,-0.6305593,0.12348439611494541,0.015867257630452512,1.7330492476622263,75.91,-1.74,79.8,-2.08,0.5052598926925767,870,336,14.0,3584,114688
2.6209867,-0.007459923555143177,-0.6354256,0.11206784836947918,0.01627303910596917,1.7328585664431253,83.82,-1.67,78.0,-2.19,0.5771078614065188,861,360,15.0,3840,122880
2.6028085,-0.00681932701729238,-0.6018684,0.10245842188596725,0.01607909021743884,1.7328603665033977,77.59,-1.07,80.13,-1.64,0.5402242063027614,872,384,16.0,4096,131072
2.6017299,-0.008666888764128088,-0.5139309,0.0968149533122778,0.016645940067246557,1.7328967650731404,77.73,-1.89,78.13,-1.52,0.6042782959285321,869,408,17.0,4352,139264
2.623147,-0.010435565244406461,-0.25741106,0.09485242620110512,0.017046455565529566,1.7324645360310873,76.09,-1.27,75.95,-1.65,0.588164346338542,870,432,18.0,4608,147456
2.576826,-0.012180061950348318,-0.36149195,0.09003435134887695,0.017877305834554137,1.7322259644667308,81.16,-1.59,74.3,-1.11,0.6110197874133294,870,456,19.0,4864,155648
2.6091516,-0.01368972725700587,-0.20797592,0.08564310345798731,0.018069447514911494,1.7320686201254527,84.09,-1.29,79.24,-1.44,0.575395054773683,871,480,20.0,5120,163840
2.5808458,-0.014629168612882494,-0.25697386,0.08279679641127587,0.018317289813421667,1.7320184667905172,84.41,-0.82,77.45,-1.19,0.46912945990948307,869,504,21.0,5376,172032
2.5750434,-0.01644198739901185,-0.014581473,0.07715677157044411,0.018865766709980865,1.7321794430414836,84.1,-0.67,79.72,-0.88,0.5387105174651601,871,528,22.0,5632,180224
2.580826,-0.017233955319970847,-0.22014101,0.0736899135261774,0.01913971412771692,1.7322430968284608,77.48,-0.61,77.56,-1.16,0.5573280809409533,862,552,23.0,5888,188416
2.534745,-0.0179609795473516,-0.03574149,0.07016481377184391,0.019736866148499153,1.7322305858135223,82.47,-0.58,78.97,-0.95,0.5388876679157077,870,576,24.0,6144,196608
2.5596452,-0.018680360498838127,-0.2051038,0.06757282074540853,0.019907195447012783,1.7322621524333954,79.44,-0.77,80.22,-1.03,0.43842191122660534,871,600,25.0,6400,204800
2.5639517,-0.019465129603631795,-0.0752022,0.06775282930582761,0.020489847172738253,1.7323417981465659,77.26,-0.64,76.27,-1.02,0.4202004348545374,871,624,26.0,6656,212992
2.5715942,-0.019876964488066733,-0.15892528,0.06845867022871971,0.021226966069800804,1.7323562383651734,81.18,-0.83,77.25,-0.6,0.4871894708821549,871,648,27.0,6912,221184
2.5653238,-0.02059396094176918,-0.14252023,0.07063849862664938,0.021737220990703736,1.7323860009511312,77.2,-0.57,80.66,-0.99,0.5177556266214537,869,672,28.0,7168,229376
2.5531065,-0.021048637554049492,-0.11308605,0.07441651705652476,0.022315427210680798,1.732481630643209,79.78,-0.85,77.16,-0.94,0.43789916772498017,871,696,29.0,7424,237568
2.5414472,-0.021828209119848906,-0.050559945,0.07414413407444954,0.02253869542228326,1.7325087666511536,78.11,-0.27,75.98,-0.04,0.49056426412103915,860,720,30.0,7680,245760
2.5587344,-0.02126828456763178,-0.06334125,0.07252903215587139,0.022981755661402068,1.732373982667923,80.31,-0.63,73.02,-0.55,0.5398819279337258,869,744,31.0,7936,253952
2.5516684,-0.022488517253659666,0.07542741,0.06984590478241444,0.024006985971298415,1.732196428378423,81.2,-0.39,76.15,0.03,0.4583353854954424,870,768,32.0,8192,262144
2.486232,-0.02340461409650743,-0.051875636,0.06236723680049181,0.024393399756507488,1.7319894134998322,74.6,-0.14,78.22,-0.68,0.4759451496965178,872,792,33.0,8448,270336
2.5298798,-0.023261381927877665,-0.006668434,0.05900053210556507,0.02470334956809097,1.7320051431655883,79.85,-0.03,74.14,-0.32,0.5160321129799308,871,816,34.0,8704,278528
2.4990327,-0.023177671041339637,-0.055921182,0.055871288068592546,0.024877277453599335,1.73233713110288,81.06,0.08,80.81,-0.65,0.464163464624721,869,840,35.0,8960,286720
