average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0007196969624298314,0.015730957,0.3065136776616176,83.40243902439025,-1.5121951,77.6896551724138,-3.0804598,-0.0006091239409853344,861,24,1.0,256,8192
2.7068129,-0.0005265232175588608,-0.13677128,0.24180550128221512,81.43,-2.66,82.28,-2.55,0.0018928408271616792,871,48,2.0,512,16384
2.7047303,-0.000492971099447459,-0.2974034,0.20626220469259554,95.16,-2.19,86.28,-2.42,0.01586217083073682,881,72,3.0,768,24576
2.7045283,-0.0005071610697389891,-0.40769884,0.19969809094133475,82.6,-2.74,79.72,-1.99,0.04920110995376392,880,96,4.0,1024,32768
2.7021203,-0.001057128729298711,-0.42423233,0.16639882750809193,80.65,-1.73,86.97,-2.77,0.022612684546352457,881,120,5.0,1280,40960
2.6976333,-0.001640345472842455,-0.41936558,0.14844682767987252,86.02,-2.21,80.02,-1.87,0.11053682424769817,882,144,6.0,1536,49152
2.6850388,-0.002221830184571445,-0.54227877,0.1418883140385151,80.11,-1.66,87.39,-2.35,0.21145319670553953,881,168,7.0,1792,57344
2.6860967,-0.00231734549626708,-0.4654781,0.12769663631916045,92.47,-2.31,83.53,-2.51,0.31736055034133537,882,192,8.0,2048,65536
2.6728976,-0.0025012034038081766,-0.43577027,0.12061550490558147,79.5,-2.45,84.75,-2.1,0.3477947081426489,882,216,9.0,2304,73728
2.6786764,-0.002575052478350699,-0.45922852,0.12496502391994,76.35,-1.89,84.54,-2.19,0.4102667125116657,870,240,10.0,2560,81920
2.676281,-0.0038006928423419597,-0.47656798,0.12232020646333694,88.22,-1.92,86.24,-2.98,0.4543744056078003,880,264,11.0,2816,90112
2.6672168,-0.00364765482256189,-0.5379379,0.11791381366550922,82.35,-1.75,91.3,-2.38,0.5217713152745728,881,288,12.0,3072,98304
2.6533794,-0.004449156287591904,-0.56249547,0.11875215612351894,84.07,-1.9,82.3,-1.89,0.5006317736396995,884,312,13.0,3328,106496
2.6655498,-0.006797773882281036,-0.436467,0.1072491692006588,91.18,-2.26,81.24,-2.14,0.5638579527324159,881,336,14.0,3584,114688
2.6438036,-0.007847854488063603,-0.5696936,0.10816666759550571,85.98,-2.17,87.84,-2.34,0.5124003088759603,877,360,15.0,3840,122880
2.6535206,-0.009389224404003471,-0.4594343,0.11048014611005783,79.53,-2.19,89.24,-1.93,0.5432931016984982,881,384,16.0,4096,131072
2.6357007,-0.010403278940357268,-0.47614753,0.10361882507801055,79.27,-2.07,82.35,-1.49,0.5324216747182169,871,408,17.0,4352,139264
2.6191096,-0.012357973200269044,-0.5803149,0.09963930703699589,87.93,-1.76,84.42,-1.8,0.6268062151768506,880,432,18.0,4608,147456
2.6299517,-0.013457709304057063,-0.520385,0.09161326177418232,87.82,-1.7,84.72,-1.4,0.5852467042469147,882,456,19.0,4864,155648
2.604962,-0.015188090247102081,-0.43852356,0.08506741732358933,83.15,-1.2,76.99,-1.04,0.5980911835993974,881,480,20.0,5120,163840
2.543734,-0.015937977628782393,-0.66941494,0.07874298263341188,82.99,-0.7,76.52,-0.78,0.6664522618107671,883,504,21.0,5376,172032
