average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer4,avg_frob_kernel_layer4,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080493,-0.00021408209189151725,-0.030528698,0.31880284287035465,0.0037251329256623223,1.7313248604536056,80.1951219512195,-2.8658535,78.63953488372093,-2.2906976,-0.0014054751068401927,812,24,1.0,256,8192
2.707829,-0.0005988345850103846,-0.18651973,0.23792121155808368,0.00416169409520185,1.731292963027954,85.58,-1.78,80.73,-2.39,8.656342555402041e-05,843,48,2.0,512,16384
2.7044604,-0.0005401372456819647,-0.33375233,0.2018319960269663,0.004424995260779828,1.7313261919296705,84.39,-2.15,82.82,-2.31,0.010616426076096808,841,72,3.0,768,24576
2.699681,-0.000679440752719529,-0.3215538,0.18599897366948426,0.005013817679671325,1.731436875462532,88.82,-2.43,82.44,-2.58,0.021264811556737984,836,96,4.0,1024,32768
2.695345,-0.0011553790885955096,-0.39786702,0.14760820455849172,0.005823887027396233,1.7315790955836956,80.31,-2.33,82.66,-2.34,0.08989059850767989,836,120,5.0,1280,40960
2.6791232,-0.0012676988122984768,-0.5605188,0.136677880436182,0.007038901858021955,1.7317774437941038,83.72,-2.32,94.37,-2.89,0.19231404399646035,835,144,6.0,1536,49152
2.6644702,-0.0020229849079623817,-0.6371858,0.13496046252548694,0.008263486242433898,1.732009703379411,79.06,-2.25,86.98,-2.47,0.25572945248419954,835,168,7.0,1792,57344
2.6720939,-0.0018943213392049075,-0.56749195,0.13395316787064077,0.00958487584863318,1.7320798319119675,80.22,-2.07,88.45,-2.79,0.40267669996891475,831,192,8.0,2048,65536
2.6697724,-0.0028526235092431306,-0.6423329,0.134332539960742,0.010611517097095203,1.732155697620832,87.3,-2.55,85.25,-2.73,0.3367642074786342,836,216,9.0,2304,73728
2.673078,-0.004292185851372778,-0.47226086,0.1355371405929327,0.011543585854549466,1.7322078537482481,81.32,-2.53,86.46,-2.47,0.40055628672888277,833,240,10.0,2560,81920
2.6837876,-0.0051095964014530185,-0.58932567,0.13568317145109177,0.012290873955743546,1.73231268960696,84.0,-2.47,84.53,-2.62,0.460466194811344,832,264,11.0,2816,90112
