average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080464,-0.0005772697816913327,-0.0010208038,0.3767780630538861,0.004644546754647649,1.7307881578803062,74.51764705882353,-0.88235295,77.86746987951807,-2.7831326,-0.004418062344463403,868,24,1.0,256,8192
2.7062569,-0.0003807715547736734,-0.08046764,0.2893869327381253,0.005134898747738248,1.7307074209675193,86.44,-2.6,86.18,-2.59,0.02048987361905774,883,48,2.0,512,16384
2.7069228,-0.0005848619200858391,-0.23589328,0.24888809108071858,0.005320729267225488,1.7307015178725123,84.17,-1.78,79.67,-1.87,0.024634638259279362,880,72,3.0,768,24576
2.7017176,-0.0008819844491275338,-0.37416643,0.2344798445701599,0.005949929339712412,1.7307408144697547,85.56,-2.1,79.27,-2.45,0.04348811207777914,882,96,4.0,1024,32768
2.688798,-0.0011835275846533476,-0.35550997,0.18500205487012863,0.006906116278079822,1.7308399420231582,85.66,-2.43,84.81,-2.73,0.08408054316382829,879,120,5.0,1280,40960
2.6875327,-0.0020773381344042718,-0.37437364,0.16975417658686637,0.008194090971653623,1.7308179741725325,82.19,-2.03,83.26,-2.44,0.21450706981232592,881,144,6.0,1536,49152
2.6768975,-0.0021677782433107496,-0.5447601,0.1733153134584427,0.009169429983876399,1.730756743066013,79.3,-2.38,77.03,-2.29,0.32299319997501064,882,168,7.0,1792,57344
2.6696122,-0.002251896779052913,-0.41007635,0.15962282553315163,0.009996932453987029,1.7307473367080093,79.8,-1.99,86.05,-1.96,0.3424116780252937,872,192,8.0,2048,65536
2.6659062,-0.0019606529595330357,-0.55458266,0.14181457601487638,0.010443247318653448,1.73083590362221,79.58,-1.46,82.93,-2.02,0.41037528661025835,882,216,9.0,2304,73728
2.6526423,-0.002802277347072959,-0.40250036,0.1386030700802803,0.011465369618599652,1.730844039656222,82.13,-1.96,83.48,-1.91,0.48122471951555046,880,240,10.0,2560,81920
2.6752403,-0.004320722809061408,-0.24437848,0.12123355478048324,0.012526214984973194,1.7308891402557491,84.04,-1.86,84.86,-1.92,0.5203415951967036,881,264,11.0,2816,90112
2.6595137,-0.00548937794752419,-0.48020917,0.10780681565403938,0.013141333620296791,1.730995924770832,79.95,-1.25,82.52,-2.37,0.5614444352553665,879,288,12.0,3072,98304
2.6493857,-0.00632213088683784,-0.33933556,0.1072957967221737,0.013811444507337001,1.731080556847155,82.13,-1.48,80.33,-2.0,0.5387825461138709,879,312,13.0,3328,106496
2.6545193,-0.008100212847348303,-0.41631505,0.09782053411006927,0.014553104927290405,1.7310799585655332,79.65,-1.43,78.8,-1.54,0.5948914006415356,881,336,14.0,3584,114688
2.6182897,-0.008197100402321666,-0.29113007,0.0884348276257515,0.015435697543398418,1.731077835522592,80.11,-0.65,76.52,-1.22,0.5192315922639951,873,360,15.0,3840,122880
2.6226504,-0.008647519003134221,-0.24501587,0.08794621840119361,0.016306147239356507,1.731084379553795,76.22,-1.26,76.65,-1.3,0.5758786821835806,881,384,16.0,4096,131072
2.5964892,-0.011406402664724737,-0.43409687,0.08287937849760056,0.01735168246032117,1.731191398575902,74.47,-0.69,75.07,-0.67,0.5723148331916172,879,408,17.0,4352,139264
2.60042,-0.010596903131809086,-0.334816,0.07795526929199696,0.0181458582709638,1.7313213365152478,74.41,-0.52,75.17,-0.88,0.661978277602349,881,432,18.0,4608,147456
2.5887368,-0.010819624217692763,-0.1685118,0.0728106527030468,0.01876166489928437,1.731469813734293,80.47,-0.75,74.46,-0.52,0.5051952649899297,881,456,19.0,4864,155648
2.5806167,-0.012716645805630833,-0.13598022,0.07291590556502342,0.019839477259120032,1.7314448436722158,71.9,-0.53,77.49,-0.93,0.4768536481365304,880,480,20.0,5120,163840
2.5794444,-0.01347060764906928,-0.24831365,0.07036304462701082,0.020804619329010166,1.731535334326327,79.59,-0.53,74.43,-0.8,0.558647409571739,881,504,21.0,5376,172032
2.5667331,-0.013464529975317418,-0.14058858,0.07014944128692151,0.02152205052661884,1.7317155998200178,73.64,-0.58,73.86,-0.5,0.507360462555259,881,528,22.0,5632,180224
2.5663102,-0.014495833944529295,-0.12689479,0.06939704831689596,0.0226804811931288,1.7318435847759246,76.97,-0.28,78.55,-1.21,0.45030902463757605,873,552,23.0,5888,188416
2.578552,-0.01522213856689632,-0.15272567,0.06417803790420294,0.02338733168271574,1.7319386158138514,75.61,-0.35,75.15,-0.93,0.42661235088345617,878,576,24.0,6144,196608
2.6024692,-0.015550418542698025,-0.04756485,0.06414119236171245,0.024465930576661778,1.7319562461227178,74.98,-0.36,75.25,-0.54,0.4320350491526219,881,600,25.0,6400,204800
